id,title,price,weight,description,article_link,img_link,extra_details,date_published,date_expires,scraped_date
48,Heineken Bier,11.99,5l Fass,"mit eingebautem Easy-Zapfhahn, und CO2-System, für beste Zapfqualität, pfandfrei, 5l Fass, (1l=2,40)",placeholder,https://offer-images.api.edeka/5a769736-9200-4e89-bcd0-1a0f2b14ece0_8712000025649_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
49,Heinz Mayonnaise oder Ketchup,1.99,400/495/500ml Flasche,"versch. Sorten, 400/495/500ml Flasche, (1l=4,98/4,02/3,98)",placeholder,https://offer-images.api.edeka/c5eb3270-2827-4329-9408-bb0e50081e1e_8715700017006_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
50,Hella Mineralwasser,2.99,"6x1,5l PET-DPG-Flasche","versch. Sorten, + 1,50 Pfand, 6x1,5l PET-DPG-Flasche, (1l=0,33)",placeholder,https://offer-images.api.edeka/fc11d6d6-13a7-4922-9190-d2c09097f489_4102380025669_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
51,Henkel Perwoll,3.99,17/19/21/25 Waschanwendungen,"Feinwaschmittel, versch. Varianten, 17/19/21/25 Waschanwendungen, (1WA=0,23/0,21/0,19/0,16)",placeholder,https://offer-images.api.edeka/13a43f92-6af0-4a9e-927c-790164c48f3a_4015000973236_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
52,Henkel Vernel,1.49,32/34 Waschanwendungen,"Weichspüler, versch. Varianten, 32/34 Waschanwendungen, (1WA=0,05/0,04)",placeholder,https://offer-images.api.edeka/8b9bc2b5-e844-45f1-8e6c-51de431831a7_4015000973779_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
53,Innocent Smoothie oder Säfte,1.29,250/330ml DPG-Flasche,"Obst zum Trinken, aus dem Kühlregal, versch. Sorten, + 0,25 Pfand, 250/330ml DPG-Flasche, (1l=5,16/3,91)",placeholder,https://offer-images.api.edeka/47a13cf2-2d3d-4b7f-bb0b-7f1622b73bf8_5038862236942_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
54,Jack Daniel's Dosen,1.99,"0,33l DPG-Dose","versch. Sorten, 10% Vol., + 0,25 Pfand, 0,33l DPG-Dose, (1l=6,03)",placeholder,https://offer-images.api.edeka/4a26a052-813c-404c-9009-275cbd1ec7fb_5099873015049_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
55,Jack Daniel's,15.99,"0,7l Flasche","versch. Sorten, 0,7l Flasche, (1l=22,84)",placeholder,https://offer-images.api.edeka/b948fcc6-9009-4561-af23-d95b307cefb4_5099873089798_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
56,Jever Pilsener,3.49,"6x0,33l Flasche","versch. Sorten, + 0,48 Pfand, 6x0,33l Flasche, (1l=1,76)",placeholder,https://offer-images.api.edeka/17414108-dbd4-4dec-a46c-da9364e5a22e_4008948130007.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
57,Johnnie Walker Red Label,9.99,"0,7l Flasche","Scotch Whisky, 40% Vol., 0,7l Flasche, (1l=14,27)",placeholder,https://offer-images.api.edeka/9a4a99bb-c697-415f-b00a-5cf576c98d67_5000267014203_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
58,Kalifornien Gallo Rot- oder Weißwein,3.99,"0,75l Flasche","versch. Sorten, 0,75l Flasche, (1l=5,32)",placeholder,https://offer-images.api.edeka/0e987e8e-5b71-4095-b2e3-0cf3a5bc29d2_085000005002_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
59,Katjes Family,0.79,275g Beutel,"Fruchtgummi oder Lakritz, versch. Sorten, 275g Beutel, (1kg=2,87)",placeholder,https://offer-images.api.edeka/4742d221-2d8c-4187-a69f-ce8688050401_4037400344294_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
60,Knorr Sauce Hollandaise oder Béarnaise,0.79,250ml Packung,"versch. Sorten, 250ml Packung, (1l=3,16)",placeholder,https://offer-images.api.edeka/6fad1146-a9e2-42b5-8ce7-24bc47756ddd_8710522766699_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
61,Krüger Family Latte Macchiato oder Cappuccino,2.49,500g Beutel,"versch. Sorten, 500g Beutel, (1kg=4,98)",placeholder,https://offer-images.api.edeka/47381cdf-42ff-4fd0-b271-533754189798_4052700068398_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
62,Kuemmerling,8.88,25x20ml = 500ml Packung,"Kräuterlikör, 35% Vol., 25x20ml = 500ml Packung, (1l=17,76)",placeholder,https://offer-images.api.edeka/72ef9aa6-55e7-4ef5-aeda-6b5c75db41dc_4002645000137_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
63,Kölln Müsli oder Vollkorn-Haferfleks,1.99,375/450/500/600g Packung,"versch. Sorten, 375/450/500/600g Packung, (1kg=5,31/4,42/3,98/3,32)",placeholder,https://offer-images.api.edeka/9c4aeb32-6be5-463a-b581-8a344ccf4cfc_4000540031881_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
64,L'Oréal Paris Elnett Haarspray,2.79,250ml Dose,"versch. Varianten, 250ml Dose, (1l=11,16)",placeholder,https://offer-images.api.edeka/6f56e08a-81cc-465d-9664-63b8318c5416_3600523997411_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
65,Lorenz Naturals,1.11,80/95g Beutel,"Kartoffelchips aus rein natürlichen Zutaten, versch. Sorten, 80/95g Beutel, (1kg=13,88/11,68)",placeholder,https://offer-images.api.edeka/bae7633f-0e4d-48ae-8bf9-d90a222c3447_4018077714399_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
66,Machelle,1.99,100g,"Frischkäsezubereitung, mit Zutaten verfeinert, versch. Sorten und Fettstufen, 100g, (1kg=19,90)",placeholder,https://offer-images.api.edeka/609a1974-fdae-449e-ba41-0d894bdff12e_8711162012764.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
67,Maretti Bruschette-Chips,0.99,150g Beutel,"geröstete Weißbrotscheiben, versch. Sorten, 150g Beutel, (1kg=6,60)",placeholder,https://offer-images.api.edeka/c83e089b-9812-4722-8441-95fc91993749_3800205872955_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
68,Mc Cain Frites,1.49,500/600/750g Beutel,"1-2-3 Original, Western, Curvers oder Crispers, 500/600/750g Beutel, (1kg = 2,98/2,48/1,99)",placeholder,https://offer-images.api.edeka/64e77ba6-9551-4cb2-adb3-65ccf3f23e1c_8710438087413_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
69,Mekkafood Chicken-Fingers,4.49,500g Packung,"Hähnchenfleisch, paniert, 500g Packung, (1kg=8,98)",placeholder,https://offer-images.api.edeka/84f5384b-168e-4912-83c3-b3e4f5f3b28b_4026279974657_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
70,Mio Mio Mate oder Cola,0.69,"0,5l Flasche","koffeinhaltige Erfrischungsgetränke, versch. Sorten, + 0,15 Pfand, 0,5l Flasche, (1l=1,38)",placeholder,https://offer-images.api.edeka/7423e3a0-54ef-401d-91b5-8433607a5bd1_4002846034306_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
71,Monster Energy,3.52,"4x0,5l DPG-Dose","taurin- und koffeinhaltig, + 1,00 Pfand, 4x0,5l DPG-Dose, (1l=1,76)",placeholder,https://offer-images.api.edeka/7fb14fe5-afb7-4540-acd3-1d6fa67e4c5b_5060517884406_PER.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
72,Mr. Lowcarb Salatdressing,1.49,240ml Flasche,"ohne Zucker und Fett, versch. Sorten, 240ml Flasche, (1l=6,21)",placeholder,https://offer-images.api.edeka/f8563013-b13a-4eeb-b480-fd6058893bf6_4260126428805_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
73,Oatly Eis,3.99,500ml Becher,"100% pflanzlich, versch. Sorten, 500ml Becher, (1l=7,98)",placeholder,https://offer-images.api.edeka/4d263080-3d8d-495b-a485-e5d1600a7052_7394376618888_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
74,Pfalz Michel Schneider Weine,2.99,"0,75l Flasche","versch. Sorten, 0,75l Flasche, (1l=3,99)",placeholder,https://offer-images.api.edeka/fc2fa6e6-50ab-4c1e-89a2-7028874fc451_4006542062618_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
75,Pfanner Ice Tea,1.19,2l Packung,"versch. Sorten, 2l Packung, (1l=0,60)",placeholder,https://offer-images.api.edeka/691daa25-2396-4ea3-88a1-26c056540870_9006900014858_VOR.png,"*Nicht in allen Filialen erhältlich. Alle weiteren Informationen der Firma und Anschrift Ihres teilnehmenden EDEKA-Marktes finden Sie unter www.edeka.de/marktsuche oder unter der Telefonnummer 0800 724 28 55 (kostenfrei aus dem dt. Fest- und Mobilfunknetz). Alle Angebote gültig bis Samstag, 29.04.2023, KW 17. Wir haben uns für diesen Zeitraum ausreichend bevorratet. Bitte entschuldigen Sie, wenn die Artikel auf Grund der großen Nachfrage dennoch im Einzelfall ausverkauft sein sollten. Abgabe in haushaltsüblichen Mengen. Für Darstellungsfehler übernehmen wir keine Haftung. EDEKA-Markt Minden-Hannover GmbH, Wittelsbacherallee 61, 32427 Minden.",2023-04-29,2023-04-24,2023-04-25
