title,price,article_link,img_url,description,scraped_date,date_published
Skyr-Alternative,1.49,https://www.aldi-nord.de/angebote/aktion-mo-17-04/skyr-alternative-1006317-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Von Natur aus laktosefrei; reich an Protein; in der Sorte ohne Zucker
 
Aus der Kühlung
",2023-04-19,2023-04-14
Soja-Mango,1.49,https://www.aldi-nord.de/angebote/aktion-mo-17-04/soja-mango-1006662-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Rein pflanzlich; von Natur aus laktosefrei
 
Aus der Kühlung
",2023-04-19,2023-04-14
Quark,1.49,https://www.aldi-nord.de/angebote/aktion-mo-17-04/quark-1001868-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten
 
Aus der Kühlung
",2023-04-19,2023-04-14
Sahne-Joghurt,0.49,https://www.aldi-nord.de/angebote/aktion-mo-17-04/sahne-joghurt-5599-4-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten
 
Aus der Kühlung
",2023-04-19,2023-04-14
Milchreis,0.39,https://www.aldi-nord.de/angebote/aktion-mo-17-04/milchreis-4475-2-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten
 
Aus der Kühlung
",2023-04-19,2023-04-14
Milchreis,0.39,https://www.aldi-nord.de/angebote/aktion-mo-17-04/milchreis-1025516-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten
 
Aus der Kühlung
",2023-04-19,2023-04-14
Cafeteria fein & sahnig,3.49,https://www.aldi-nord.de/angebote/aktion-mo-17-04/cafeteria-fein-sahnig-1012687-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten und Gewichte
 
Aus der Tiefkühlung
",2023-04-19,2023-04-14
Sorbet,1.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/sorbet-5307-1-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten
 
Aus der Tiefkühlung
",2023-04-19,2023-04-14
Ice Machines Minis,2.29,https://www.aldi-nord.de/angebote/aktion-mo-17-04/ice-machines-minis-1026021-1-1.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Packung enthält 6 verschiedene Sorten Wassereis; 18 Stück 
 
Aus der Tiefkühlung
",2023-04-19,2023-04-14
Original,1.29,https://www.aldi-nord.de/angebote/aktion-mo-17-04/original-1021583-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Halbfettmargarine
",2023-04-19,2023-04-14
Instantsuppe,0.89,https://www.aldi-nord.de/angebote/aktion-mo-17-04/instantsuppe-2149-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten und Gewichte; je 5 Beutel
",2023-04-19,2023-04-14
